telescope,z_low,z_high,z_mid,z_obs_low,z_obs_high,z_effective,coverage_fraction,var_noise_mK2,rms_noise_mK,supported_mode_fraction,effective_mode_count,status,kperp_min_envelope_Mpc_inv,kperp_max_envelope_Mpc_inv,kpar_min_Mpc_inv,kpar_min_lattice_Mpc_inv,k_max_Mpc_inv,voxel_side_Mpc,t_obs_hours,baseline_source,variance_estimator
hirax_interferom,1.3227075,1.3327075000000002,1.3277075,1.3227075,1.3327075000000002,1.3277111941866913,1.0,0.046596119520210026,0.21586134327435755,0.9960838854736476,69518517.20071629,ok,0.01847660454446423,0.36299450763222646,0.0019968547361955144,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3327075000000002,1.3427075,1.3377075,1.3327075000000002,1.3427075,1.33771111924976,1.0,0.047389560102315646,0.21769143323134157,0.9962293867348083,69528671.99999999,ok,0.018306854199747286,0.3629945413134741,0.0019907226377787945,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3427075,1.3527075000000002,1.3477075,1.3427075,1.3527075000000002,1.347711045748156,1.0,0.04818416734397344,0.2195089231534186,0.9962585376522072,69530706.49587145,ok,0.018139923726662774,0.36299457453548345,0.001984655588092998,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3527075000000002,1.3627075,1.3577075,1.3527075000000002,1.3627075,1.3577109736479425,1.0,0.048988680209754026,0.2213338659350485,0.9963167322020359,69534768.0,ok,0.017975746421685167,0.36299460730772115,0.0019786524488418678,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3627075,1.3727075000000002,1.3677075,1.3627075,1.3727075000000002,1.367710902916171,1.0,0.04980143175136447,0.22316234393679518,0.9963749625135202,69538831.99999999,ok,0.017814257615519684,0.36299463963940276,0.0019727121077651056,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3727075000000002,1.3827075,1.3777075,1.3727075000000002,1.3827075,1.37771083352085,1.0,0.050622471373919245,0.2249943807607631,0.9964331928250055,69542896.0,ok,0.01765539459731357,0.3629946715395008,0.0019668334779296666,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3827075,1.3927075,1.3877074999999999,1.3827075,1.3927075,1.3877107654309009,1.0,0.051449961679849915,0.2268258399738661,0.9964623409151844,69544930.2985546,ok,0.01749909654215918,0.3629947030167525,0.0019610154970430512,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.3927075,1.4027075,1.3977075,1.3927075,1.4027075,1.3977106986161276,1.0,0.052285778614628256,0.22866083751842653,0.9964914231364902,69546959.99999999,ok,0.017345304442014955,0.362994734079667,0.001955257126787798,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.4027075,1.4127075,1.4077075,1.4027075,1.4127075,1.4077106330471916,1.0,0.05313593388085571,0.2305123291298227,0.9966078837594601,69555087.99999999,ok,0.0171939610394028,0.36299476473653247,0.0019495573521764779,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
hirax_interferom,1.4127075,1.4227075,1.4177075000000001,1.4127075,1.4227075,1.4177105686955864,1.0,0.05399578341890208,0.2323699279573458,0.996738979335817,69564237.40017886,ok,0.017045010763940143,0.36299479499542325,0.0019439151809264173,0.002834135452558472,0.363,8.660028081584393,100000.0,"uniform; assumed Dmin=6 m, Dmax=200 m",periodic_box_mode_sum
