telescope,z,variance_mK2,mode_count,peak_kperp,peak_density,peak_group_fraction,peak_zero_edge_gap
ska_mid1_interferom,0.3797519563687528,0.026387950575434256,37635504,0.2355275694930816,0.001214193554369679,0.0007522974714795783,1551.9551635325581
ska_mid1_interferom,0.38000192539641875,0.026456746849052054,37671936,0.2355275694930816,0.0012149105622248316,0.0007512743073586248,1550.7591079208562
chime_icyl,1.2627117181444039,0.15067922110422965,66527104,0.35435194543294607,0.04012129968052341,0.001398450576853018,0.29018644795254617
chime_icyl,1.2629617160363704,0.15140594466654952,66539152,0.35433777787220105,0.042015390559880336,0.001337114425051619,0.29018791062940724
chime_icyl,1.2632117139283368,0.1520482479069039,66539152,0.35433777787220105,0.044567141772154685,0.0012561928119643488,0.2902035339471104
chime_icyl,1.2634617118203033,0.15273916158223388,66541160,0.35433777787220105,0.047120130263940595,0.0011836632720151345,0.29021915034930007
chime_icyl,1.2637117097122696,0.1534147588420422,66541160,0.35433777787220105,0.04967435627027361,0.0011187116688430978,0.29023475984036223
chime_icyl,1.2639617076042362,0.1541107724209696,66541160,0.35433777787220105,0.052229820026197506,0.001059981980053178,0.29025036242467905
chime_icyl,1.2642117054962025,0.15488534864787035,66549192,0.3455147058147569,0.07921777632603634,0.001020006327238158,0.2814428860491851
chime_icyl,1.264461703388169,0.155570021212966,66549192,0.3455147058147569,0.07408542039209189,0.0010866997070176831,0.2814584748331437
chime_icyl,1.2647117012801357,0.15629791201199317,66549192,0.3455147058147569,0.06895056388572599,0.0011630798238618505,0.2814740567234821
chime_icyl,1.264961699172102,0.15701508033782868,66553208,0.3455147058147569,0.06493354121999878,0.0012303320206205727,0.2814896317245683
chime_icyl,1.2652116970640686,0.1577423371878755,66561240,0.3455147058147569,0.069185606786663,0.0011502731078570632,0.2815051998407666
chime_icyl,1.2654616949560349,0.15847003148671057,66561240,0.3565974278932744,0.038692165940811915,0.001174399462168842,0.29260348315495516
chime_icyl,1.2657116928480014,0.15923182239118558,66561240,0.3565974278932744,0.03598379836486411,0.0012577121655211782,0.29261903751445606
